Name,Region,Street Address,City,Postal Code,Phone Number,Website,Scraped Page
CHSLD d'Aylmer,Outaouais,"445, boul. Wilfrid-Lavigne",Gatineau,J9H 6H9,819-966-6440,https://cisss-outaouais.gouv.qc.ca/,https://www.indexsante.ca/chsld/outaouais/537/chsld-aylmer.php
CHSLD Champlain Gatineau,Outaouais,"510, boul. de La Vérendrye Est",Gatineau,J8P 8B4,819-966-7331,https://cisss-outaouais.gouv.qc.ca/,https://www.indexsante.ca/chsld/outaouais/524/chsld-champlain-gatineau.php
CHSLD La Pietà,Outaouais,"273, rue Laurier",Gatineau,J8X 3W8,819-966-6420,https://cisss-outaouais.gouv.qc.ca/,https://www.indexsante.ca/chsld/outaouais/533/chsld-la-piete.php
CHSLD de Mistassini,Saguenay - Lac-Saint-Jean,"201, boul. des Pères",Dolbeau-Mistassini,G8M 5K6,418-276-1234,,https://www.indexsante.ca/chsld/saguenay-lac-saint-jean/13/chsld-de-mistassini.php
CHSLD Mgr-Victor-Tremblay,Saguenay - Lac-Saint-Jean,"1236, rue d'Angoulème",Chicoutimi,G7H 6P9,418-698-3907,,https://www.indexsante.ca/chsld/saguenay-lac-saint-jean/543/chsld-mgr-victor-tremblay.php
CHSLD Métabetchouan-Lac-à-la-Croix,Saguenay - Lac-Saint-Jean,"1895, route 169",Métabetchouan-Lac-à-la-Croix,G8G 1B4,418-669-2000,,https://www.indexsante.ca/chsld/saguenay-lac-saint-jean/563/chsld-metabetchouan-lac-a-la-croix.php
CHSLD Beaumanoir,Saguenay - Lac-Saint-Jean,"904, Jacques-Cartier Est",Chicoutimi,G7H 2A9,418-698-3900,,https://www.indexsante.ca/chsld/saguenay-lac-saint-jean/19/chsld-beaumanoir.php
CHSLD Isidore-Gauthier,Saguenay - Lac-Saint-Jean,"5731, avenue du Pont Nord",Alma,G8E 1W8,418-669-2000,,https://www.indexsante.ca/chsld/saguenay-lac-saint-jean/550/chsld-isidore-gauthier.php
CHSLD Le Normandie,Saguenay - Lac-Saint-Jean,"50, chemin Foyer-Nord",Bureau : CP 220,Alma (Québec),418-668-8313,,https://www.indexsante.ca/chsld/saguenay-lac-saint-jean/555/chsld-le-normandie.php
CHSLD de la Colline,Saguenay - Lac-Saint-Jean,"150, rue Pinel",Chicoutimi,G7G 3N8,418-549-5474,,https://www.indexsante.ca/chsld/saguenay-lac-saint-jean/549/chsld-de-la-colline.php
